Title,Publisher,Date,Link
Komodo launches on-chain bridge between Ethereum and Binance Smart Chain,CryptoSlate,2021-10-01,https://cryptoslate.com/komodo-launches-on-chain-bridge-between-ethereum-and-binance-smart-chain/
Bitcoin Climbs Above $47K as Stocks Fall and Investors Eye Inflation,CoinDesk,2021-10-01,https://www.coindesk.com/markets/2021/10/01/bitcoin-climbs-above-47k-ignoring-stock-market-weakness-feds-preferred-measure-of-inflation-eyed/
Powell Says No Crypto Ban as 'Uptober' Kicks Off,CoinDesk,2021-10-01,https://www.coindesk.com/podcasts/the-breakdown-with-nlw/powell-says-no-crypto-ban-as-uptober-kicks-off/
Compound Founder Says $80M Bug Presents ‘Moral Dilemma’ for DeFi Users,CoinDesk,2021-10-01,https://www.coindesk.com/tech/2021/10/01/compound-founder-says-80m-bug-presents-moral-dilemma-for-defi-users/
"We Can Use as Much Energy as We Want, Forever",CoinDesk,2021-10-01,https://www.coindesk.com/learn/2021/10/01/we-can-use-as-much-energy-as-we-want-forever/
Introducing the Decentralized Money Stack,CoinDesk,2021-10-01,https://www.coindesk.com/policy/2021/10/01/introducing-the-decentralized-money-stack/
"Coinbase Multi-Factor Authentication Hack Affects at Least 6,000 Customers",CoinDesk,2021-10-01,https://www.coindesk.com/business/2021/10/01/coinbase-multi-factor-authentication-hack-affects-at-least-6000-customers/
Early NFT Investor Nick Tomaino: 'Belief Equals Value' in Crypto,Decrypt,2021-10-01,https://decrypt.co/81610/early-nft-opensea-investor-nick-tomaino-belief-equals-value
Is Mozilla Trying to Sabotage Distributed Identity?,CoinDesk,2021-10-01,https://www.coindesk.com/business/2021/10/01/is-mozilla-trying-to-sabotage-distributed-identity/
"Ripple jumps on the NFT bandwagon, launches $250 million ‘Creator Fund’",CryptoSlate,2021-10-01,https://cryptoslate.com/ripple-jumps-on-the-nft-bandwagon-launches-250-million-creator-fund/
What is the Difference between Telnet and SSH?,HackerNoon,2021-10-01,https://hackernoon.com/what-is-the-difference-between-telnet-and-ssh
Is It Possible For Countries To Ban Bitcoin?,CryptoDigest,2021-10-01,https://cryptodigest.com/is-it-possible-for-countries-to-ban-bitcoin/
