Title,Publisher,Date,Link
Market Wrap: Finger-Pointing and Job Cuts as Bitcoin Slides Back Toward $20K,CoinDesk,2022-06-28,https://www.coindesk.com/markets/2022/06/28/market-wrap-finger-pointing-and-job-cuts-as-bitcoin-slides-back-toward-20k/
"Key Bitcoin price metrics say BTC bottomed, but traders still fear a drop to $10K",Cointelegraph,2022-06-28,https://cointelegraph.com/news/key-bitcoin-price-metrics-say-btc-bottomed-but-traders-still-fear-a-drop-to-10k
"BTC, ADA, BNB, SOL and MATIC Price Analysis for June 28",U.Today,2022-06-28,https://u.today/btc-ada-bnb-sol-and-matic-price-analysis-for-june-28
3 charts showing this Bitcoin price drop is unlike summer 2021,Cointelegraph,2022-06-28,https://cointelegraph.com/news/3-charts-showing-this-bitcoin-price-drop-is-unlike-summer-2021
It Is Time To Turn The Tables On The Bitcoin Environmental Debate,Bitcoin Magazine,2022-06-28,https://bitcoinmagazine.com/culture/bitcoin-environmental-debate-is-wrong
Crypto Influencer Adam Back Stands By $100k Bitcoin Price ...,Business 2 Community,2022-06-28,https://www.business2community.com/crypto-news/crypto-influencer-adam-back-stands-by-100k-bitcoin-price-prediction-02511758
"CoinFLEX Says 'Bitcoin Jesus' Roger Ver Is Behind Its Withdrawal Troubles, $47M Debt",Decrypt,2022-06-28,https://decrypt.co/104014/coinflex-bitcoin-jesus-roger-ver-behind-withdrawal-troubles-47m-debt
SEC’s Gensler Reiterates Bitcoin Alone Is a Commodity. Is He Right?,CoinDesk,2022-06-28,https://www.coindesk.com/layer2/2022/06/28/secs-gensler-reiterates-bitcoin-alone-is-a-commodity-is-he-right/
Bitcoin Miner Marathon Digital’s Montana Operations Go Offline After Storm,CoinDesk,2022-06-28,https://www.coindesk.com/business/2022/06/28/bitcoin-miner-marathon-digitals-montana-operations-go-offline-after-storm/
I'm Waiting for Bitcoin to Test $1100: Robert Kiyosaki,U.Today,2022-06-28,https://u.today/im-waiting-for-bitcoin-to-test-1100-robert-kiyosaki
Investment Firm Cypherpunk Holdings Sells All of Its Bitcoin and Ether,CoinDesk,2022-06-28,https://www.coindesk.com/business/2022/06/28/investment-firm-cypherpunk-holdings-sells-all-of-its-bitcoin-and-ether/
Grayscale Spot Bitcoin ETF Comes With a Catch,Bloomberg.com,2022-06-28,https://www.bloomberg.com/news/newsletters/2022-06-28/grayscale-spot-bitcoin-etf-comes-with-a-catch
Bitcoin (BTC): The Next Bull Market Will Likely Start Soon,Seeking Alpha,2022-06-28,https://seekingalpha.com/article/4520689-bitcoin-next-bull-market-likely-start-soon
