Title,Publisher,Date,Link
Cardano (ADA) Bottom Signal? Insights Firm Santiment Eyes Metric With Record of Calling Tops and Bottoms,The Daily Hodl,2022-02-24,https://dailyhodl.com/2022/02/24/cardano-ada-bottom-signal-insights-firm-santiment-eyes-metric-with-record-of-calling-tops-and-bottoms/
"Cardano’s ADA Dives 18%, Leading Plunge in Cryptos as Russia Begins War With Ukraine",CoinDesk,2022-02-24,https://www.coindesk.com/markets/2022/02/24/cardanos-ada-dives-18-leading-plunge-in-cryptos-as-russia-begins-war-with-ukraine/
Don't Miss This Major Milestone on the Cardano Network,InvestorPlace,2022-02-24,https://investorplace.com/newdigitalworld/2022/02/dont-miss-this-major-milestone-on-the-cardano-network/
Cardano’s DEX Minswap Announces a Liquidity Bootstrapping Event & Mainnet launch.,Yahoo Finance,2022-02-24,https://finance.yahoo.com/news/cardano-dex-minswap-announces-liquidity-044800764.html
Cardano Set To Surge 300% And Seesaw Protocol Jumps Over 1000% In Presale,Outlook India,2022-02-24,https://www.outlookindia.com/outlook-spotlight/cardano-set-to-surge-300-and-seesaw-protocol-jumps-over-1000-in-presale-news-183813
"Bitcoin Plunges Into ‘Extreme Fear’ Abyss As Russia Launches Full-Scale Invasion—Meanwhile, BNB, Solana, Cardano, XRP, And Ethereum Prices Are In Free Fall",Forbes,2022-02-24,https://www.forbes.com/sites/danrunkevicius/2022/02/24/bitcoin-plunges-into-extreme-fear-abyss-as-russia-launches-full-scale-invasion-meanwhile-bnb-solana-cardano-xrp-and-ethereum-prices-are-in-free-fall/
"Why Cardano, Chainlink, Cronos, and Polkadot Are Sinking ...",The Motley Fool,2022-02-24,https://www.fool.com/investing/2022/02/24/why-cardano-chainlink-cronos-and-polkadot-are-sink/
Enter Orbis - Cardano's Scaling Solution,Cardano Feed,2022-02-24,https://cardanofeed.com/enter-orbis-cardano-s-scaling-solution-51684.html
"Cardano Price Analysis: ADA Crashes 15% in a Day, Here’s the Next Support",CryptoPotato,2022-02-24,https://cryptopotato.com/cardano-price-analysis-ada-crashes-15-in-a-day-heres-the-next-support/
Cardano (ADA) Creator Charles Hoskinson Says Ethereum (ETH) Is Doing ‘Impressive Things’ – Here’s Why,The Daily Hodl,2022-02-24,https://dailyhodl.com/2022/02/24/cardano-ada-creator-charles-hoskinson-says-ethereum-eth-is-doing-impressive-things-heres-why/
Can Adana's ISPO Help Cardano (ADA) Move Above $1,FXLeaders,2022-02-24,https://www.fxleaders.com/news/2022/02/24/can-adanas-ispo-help-cardano-ada-move-above-1/
"$500 Billion Crypto Price Crash: Bitcoin, Ethereum, BNB, Cardano, Solana And XRP Are Suddenly In Freefall As Russia Invades Ukraine",Forbes,2022-02-24,https://www.forbes.com/sites/billybambrough/2022/02/24/500-billion-crypto-price-crash-bitcoin-ethereum-bnb-cardano-solana-and-xrp-are-suddenly-in-freefall-as-russia-invades-ukraine/
Flickto: UK-based startup launches app giving back control of media to the community,AMBCrypto,2022-02-24,https://ambcrypto.com/flickto-uk-based-startup-launches-app-giving-back-control-of-media-to-the-community/
2 Cryptocurrencies to Buy for the Long Haul,The Motley Fool,2022-02-24,https://www.fool.com/investing/2022/02/24/2-cryptocurrencies-to-buy-for-the-long-haul/
Hedge in times of trouble? Bitcoin drops to one-month low,Al Jazeera,2022-02-24,https://www.aljazeera.com/economy/2022/2/24/hedge-in-times-of-trouble-bitcoin-drops-to-one-month-low
120 Million XRP Moved by Anonymous Whale to Private Wallet: Details,U.Today,2022-02-24,https://u.today/120-million-xrp-moved-by-anonymous-whale-to-private-wallet-details
Blockchain Infrastructure Provider InfStones Closes $33M ...,Blockworks,2022-02-24,https://blockworks.co/blockchain-infrastructure-provider-infstones-closes-33m-series-b/
NFTs Are the Latest Crypto Tax Events Nobody Understands,CoinDesk,2022-02-24,https://www.coindesk.com/layer2/taxweek/2022/02/24/nfts-are-the-latest-crypto-tax-events-nobody-understands/
"BitMEX Founders Arthur Hayes, Ben Delo Plead Guilty to Violating US Law",CoinDesk,2022-02-24,https://www.coindesk.com/policy/2022/02/24/bitmex-founders-arthur-hayes-ben-delo-plead-guilty-to-violating-us-law/
What You Need to Know About Taxes Before You Claim Your Next Airdrop,CoinDesk,2022-02-24,https://www.coindesk.com/layer2/taxweek/2022/02/24/what-you-need-to-know-about-taxes-before-you-claim-your-next-airdrop/
"Russia to Restrict Crypto Trading to Licensed Platforms, Certified Wallets",CoinDesk,2022-02-24,https://www.coindesk.com/policy/2022/02/24/russia-to-restrict-crypto-trading-to-licensed-platforms-certified-wallets/
