Title,Publisher,Date,Link
"US MLB to Employ NFTs for Bolstering Fan Insterest, Confirms Toronto Blue Jays’ CEO",CryptoPotato,2021-04-04,https://cryptopotato.com/us-mlb-to-employ-nfts-for-bolstering-fan-insterest-confirms-toronto-blue-jays-ceo/
"Ethereum Price Analysis: Bulls Defend $2,000 as ETH Slips Away From ATH",CryptoPotato,2021-04-04,https://cryptopotato.com/ethereum-price-analysis-bulls-defend-2000-as-eth-slips-away-from-ath/
Blockchain Games: NFTs as an Integral Part of In-Game ...,BeInCrypto,2021-04-04,https://beincrypto.com/blockchain-games-nfts-as-an-integral-part-of-in-game-tokenomics/
What Is Decentraland (MANA)?,Coinspeaker,2021-04-04,https://www.coinspeaker.com/guides/what-is-decentraland-mana/
Introduction to Enjin Coin (ENJ) – Enjin-Powered Gaming Crypto,Coinspeaker,2021-04-04,https://www.coinspeaker.com/guides/introduction-enjin-coin-enj-enjin-powered-gaming-crypto/
"Millions Drained in ForceDAO Attacks, White Hat Returns Funds",Crypto Briefing,2021-04-04,https://cryptobriefing.com/millions-drained-forcedao-attacks-white-hat-returns-funds/
"Popular meme “Overly attached girlfriend” resurfaces with $417,000 NFT auction",CryptoSlate,2021-04-04,https://cryptoslate.com/popular-meme-overly-attached-girlfriend-resurfaces-with-417000-nft-auction/
"Here Are the 6 Most Explosive Crypto Assets on Coinbase, According to Trader Austin Arnold",The Daily Hodl,2021-04-04,https://dailyhodl.com/2021/04/04/here-are-the-6-most-explosive-crypto-assets-on-coinbase-according-to-trader-austin-arnold/
"Hong Kong Customs Busts GPU Smugglers, Seizes 300 ...",Tom's Hardware,2021-04-04,https://www.tomshardware.com/news/gpu-smugglers-300-nvidia-cmp-30hx-gpus
The Dark Side Of Coinbase Listing,Crypto News,2021-04-04,https://cryptonews.com/exclusives/the-dark-side-of-coinbase-listing-9786.htm
Microsoft Patented Brainwaves Crypto Mining In 2020: Will It Ever Become Real?,CryptoPotato,2021-04-04,https://cryptopotato.com/microsoft-files-patent-human-powered-crypto-mining/
"Bitcoin Price Analysis: BTC Sees 5th Rejection Of $60k, What’s Next?",CryptoPotato,2021-04-04,https://cryptopotato.com/bitcoin-price-analysis-btc-sees-5th-rejection-of-60k-whats-next/
How a college student turned $4k into millions of dollars with Bitcoin and NFTs,The Hustle,2021-04-04,https://thehustle.co/how-a-college-student-turned-4k-into-millions-of-dollars-with-bitcoin-and-nfts/
"Here’s The Most Underrated New NFT Gem, According to Crypto Trader Ben Armstrong",The Daily Hodl,2021-04-04,https://dailyhodl.com/2021/04/04/heres-the-most-underrated-new-nft-gem-according-to-crypto-trader-ben-armstrong/
DeFi-ing the odds: Why DeFi could rebuild trust in financial services,Cointelegraph,2021-04-04,https://cointelegraph.com/news/defi-ing-the-odds-why-defi-could-rebuild-trust-in-financial-services
