Title,Publisher,Date,Link
"Shiba Inu's SHIB Jumps Amid Speculative Frenzy, BONE Proposal",CoinDesk,2022-06-22,https://www.coindesk.com/markets/2022/06/22/shiba-inus-shib-jumps-amid-speculative-frenzy-bone-proposal/
Can Parody Coin (PARO) Reach the Heights of the Surging ...,Crypto News,2022-06-22,https://cryptonews.com/news/can-parody-coin-paro-reach-heights-of-surging-shiba-inu-shib-which-now-up-17.htm
"Billionaire supports meme coin, triggering Shiba Inu price rally",FXStreet,2022-06-22,https://www.fxstreet.com/cryptocurrencies/news/billionaire-supports-meme-coin-triggering-shiba-inu-price-rally-202206221332
"Despite Fear In The Crypto Market Due To Bitcoin (BTC) And Shiba Inu (SHIB) Plunging, Gnox (GNOX) Holders",Bitcoinist,2022-06-22,https://bitcoinist.com/despite-fear-in-the-crypto-market-due-to-bitcoin-btc-and-shiba-inu-shib-plunging-gnox-gnox-holders-are-celebrating-a-60-price-surge/
"Cardano Postpones Vasil Hard Fork, SHIB Enters Top 6 Most Profitable Assets, BabyDoge Army Burns 2.8 Quadrillion Coins: Crypto News Digest by U.Today",U.Today,2022-06-22,https://u.today/cardano-postpones-vasil-hard-fork-shib-enters-top-6-most-profitable-assets-babydoge-army-burns-28
"""Alameda"" Wallet Moves $2 Billion on FTX Exchange in Past Week, Prior to Biggest Crypto Sell-Off in History",U.Today,2022-06-22,https://u.today/alameda-wallet-moves-2-billion-on-ftx-exchange-in-past-week-prior-to-biggest-crypto-sell-off-in
Ethereum’s Vitalik Buterin and His Father Discuss Lessons Learned via the Crash of Terra (LUNA),Times Tabloid,2022-06-22,https://timestabloid.com/ethereums-vitalik-buterin-and-father-discuss-lessons-learned-via-the-crash-of-terra-luna/
Foreign Exchange Reserves Up By $30.3 Billion In FY22: RBI Data,Outlook India,2022-06-22,https://www.outlookindia.com/business/foreign-exchange-reserves-up-by-30-3-billion-in-fy22-rbi-data-news-203980
Japanese Megabank Acquisition of Stake in SBI Holdings ...,U.Today,2022-06-22,https://u.today/japanese-megabank-acquisition-of-stake-in-sbi-holdings-could-be-bullish-for-ripple-believes-john
TV shows we love: One of Us Is Lying,Cyprus Mail,2022-06-22,https://cyprus-mail.com/2022/06/22/tv-shows-we-love-one-of-us-is-lying/
Market Wrap: BTC Falls Below $20K as Crypto Bounce Loses Steam,CoinDesk,2022-06-22,https://www.coindesk.com/markets/2022/06/22/market-wrap-crypto-bounce-loses-steam-amid-retail-sell-off/
First Mover Asia: DeFi’s Resilience During the Market Slowdown; Bitcoin Slumps Near $20K,CoinDesk,2022-06-22,https://www.coindesk.com/markets/2022/06/22/first-mover-asia-defis-resilience-during-market-slowdown-bitcoin-slumps-near-20k/
CoinShares: Institutional Investors Continue To Dump Ethereum (ETH) In Favor Of Solana (SOL),Times Tabloid,2022-06-22,https://timestabloid.com/coinshares-investors-continue-to-dump-ethereum-eth-in-favor-of-solana-sol/
"Silver Price Analysis: XAG/USD bears might now aim to test YTD low, around $20.45 area",FXStreet,2022-06-22,https://www.fxstreet.com/news/silver-price-analysis-xag-usd-bears-might-now-aim-to-test-ytd-low-around-2045-area-202206221013
Parody Coin (PARO) & Axie Infinity (AXS) Are the Future Of NFTs,CryptoNewsZ,2022-06-22,https://www.cryptonewsz.com/parody-coin-and-axie-infinity-are-the-future-of-nfts/
"Ethereum: Recovery Or Dead Cat Bounce? Either Way, Chronoly Rises 500%",Coinpedia,2022-06-22,https://coinpedia.org/press-release/ethereum-recovery-or-dead-cat-bounce-either-way-chronoly-rises-500/
Launch Date of Vasil Hard Fork From Cardano Rescheduled,CryptoNewsZ,2022-06-22,https://www.cryptonewsz.com/launch-date-of-vasil-hard-fork-from-cardano-rescheduled/
GrayScale CEO: Approval of an ETF that Provides Inverse Exposure to Bitcoin Futures Shows Positivity for Cr...,Times Tabloid,2022-06-22,https://timestabloid.com/grayscale-ceo-approval-of-an-etf-that-provides-inverse-exposure-to-bitcoin-futures-shows-positivity-for-crypto/
Uniswap Labs Purchases Genie to Integrate NFTs into its Products,Coinspeaker,2022-06-22,https://www.coinspeaker.com/uniswap-labs-purchases-genie/
Huobi Global’s Former Employee Accused of Insider Trading,BeInCrypto,2022-06-22,https://beincrypto.com/huobi-globals-former-employee-accused-of-insider-trading/
Ripple Opens Its First Office in Canada,U.Today,2022-06-22,https://u.today/ripple-opens-its-first-office-in-canada
Which is Safer: USDC or Tether? • Benzinga,Benzinga,2022-06-22,https://www.benzinga.com/money/which-is-safer-usdc-or-tether
Crypto Broker Voyager (VOYG) Suffers 60% Downfall After Disclosing Three Arrows Capital Exposure,U.Today,2022-06-22,https://u.today/crypto-broker-voyager-voyg-suffers-60-downfall-after-disclosing-three-arrows-capital-exposure
MULN Stock Forecast: Mullen Automotive soars ahead of merger vote on Wednesday,FXStreet,2022-06-22,https://www.fxstreet.com/news/muln-stock-forecast-mullen-automotive-soars-ahead-of-merger-vote-on-wednesday-202206221101
