Title,Publisher,Date,Link
Solana (SOL) Trading Volume Soars by $189 Billion in ...,BeInCrypto,2022-04-21,https://beincrypto.com/solana-sol-trading-volume-soars-189-billion-quarterly-high/
Polygon (MATIC) and Solana (SOL) Soon to Spike – Can ...,CrowdWisdom360,2022-04-21,https://crowdwisdom.live/sponsored/can-quitriam-finance-deliver-great-results/
"Blockchain P2E game Battle Drones’ 1,000-NFT sale begins today, 8 pm UTC",Cointelegraph,2022-04-21,https://cointelegraph.com/press-releases/blockchain-p2e-game-battle-drones-1-000-nft-sale-begins-today-8-pm-utc
3 Cryptocurrencies That Could 10x Your Portfolio - Polkadot ...,Crypto News,2022-04-21,https://cryptonews.com/news/3-cryptocurrencies-that-could-10x-your-portfolio-polkadot-dot-fantom-ftm-firepin-token-frpn.htm
Cell Protocol Awarded Two Prizes Totaling $80K in Solana Riptide Hackathon,Cointelegraph,2022-04-21,https://cointelegraph.com/press-releases/cell-protocol-awarded-two-prizes-totaling-80k-in-solana-riptide-hackathon
FaniTrade preps largest Solana NFT airdrop: FaniBooster for every wallet,Cointelegraph,2022-04-21,https://cointelegraph.com/press-releases/fanitrade-preps-largest-solana-nft-airdrop-fanibooster-for-every-wallet
Binance limits services in Russia due to the EU's 5th package ...,Cointelegraph,2022-04-21,https://cointelegraph.com/news/binance-limits-services-in-russia-due-to-the-eu-s-5th-package-of-sanctions
Coinbase is planning to purchase crypto exchange BtcTurk in $3.2B deal: Report,Cointelegraph,2022-04-21,https://cointelegraph.com/news/coinbase-is-planning-to-purchase-crypto-exchange-btcturk-in-3-2b-deal-report
"More institutions are looking to invest in crypto, says NEAR Foundation CEO",Cointelegraph,2022-04-21,https://cointelegraph.com/news/more-institutions-are-looking-to-invest-in-crypto-says-near-foundation-ceo
Australian prudential regulator releases roadmap for cryptocurrency policy,Cointelegraph,2022-04-21,https://cointelegraph.com/news/australian-prudential-regulator-releases-roadmap-for-cryptocurrency-policy
Gate.io becomes the second-largest crypto exchange by trading volume,Cointelegraph,2022-04-21,https://cointelegraph.com/press-releases/gateio-becomes-the-second-largest-crypto-exchange-by-trading-volume
Continuously Losing Money in the Crypto Market? A 20-year ...,Crypto News,2022-04-21,https://cryptonews.com/news/continuously-losing-money-in-the-crypto-market-a-20-year-trader-share-his-ways-to-profit.htm
Bitcoin (BTC) Analysis: Realized Profits Spike Considerably In ...,BeInCrypto,2022-04-21,https://beincrypto.com/bitcoin-btc-analysis-realized-profits-spike-considerably-in-march/
Missed the Previous Crypto Bull Run? Add HUH Token ...,Crypto News,2022-04-21,https://cryptonews.com/news/missed-previous-crypto-bull-run-add-huh-token-monero-cardano-for-huge-returns.htm
ApeCoin (APE) & 31000% Rise of STEPN (GMT) Indicates NFTs are Back… Parody Coin (PARO) to Join the Trend?,CryptoSlate,2022-04-21,https://cryptoslate.com/press-releases/apecoin-ape-31000-rise-of-stepn-gmt-indicates-nfts-are-back-parody-coin-paro-to-join-the-trend/
The Apecoin price analysis: APE losses value at $15.31,Cryptopolitan,2022-04-21,https://www.cryptopolitan.com/the-apecoin-price-analysis-2022-04-21/
"Rario, World’s First Cricket NFT, Announces $120 Million Series A Funding; Bitcoin Rises",Outlook India,2022-04-21,https://www.outlookindia.com/business/rario-world-s-first-cricket-nft-announces-120-million-series-a-funding-bitcoin-rises-news-192590
American Idol NFTs Dropping on Theta on April 22nd,The VR Soldier,2022-04-21,https://thevrsoldier.com/american-idol-nfts-dropping-on-theta-on-april-22nd/
What is Sweatcoin? An All-in-One Guide for Beginners,Coinfomania,2022-04-21,https://coinfomania.com/what-is-sweatcoin/
Top 3 Metaverse Crypto Coins With a Market Cap Below $380 ...,The VR Soldier,2022-04-21,https://thevrsoldier.com/top-3-metaverse-crypto-coins-with-a-market-cap-below-380-million-april-2022/
Which Crypto Coins Will BetOnline Accept Next?,Legal Sports Betting,2022-04-21,https://sportsbetting.legal/news/which-cryptos-betonline-accept-next/
Criptomonedas muertas: la impactante cifra que nadie esperaba,iProUP,2022-04-21,https://www.iproup.com/economia-digital/30942-criptomonedas-muertas-la-impactante-cifra-que-nadie-esperaba
DEX aims to take on Uniswap with its concentrated liquidity bet,Cointelegraph,2022-04-21,https://cointelegraph.com/news/dex-aims-to-take-on-uniswap-with-its-concentrated-liquidity-bet
Cardano [ADA] bounces on the back of positive sentiment but will it sustain,AMBCrypto,2022-04-21,https://ambcrypto.com/cardano-ada-bounces-on-the-back-of-positive-sentiment-but-will-it-sustain/
Hyundai entra al metaverso con 30 NFTs protagonizados por ...,Morocotacoin,2022-04-21,https://morocotacoin.news/ecosistema/hyundai-entra-al-metaverso-con-30-nfts-protagonizados-por-el-gorila-meta-kongz/
DOGE la crypto d'internet ? le PDG de Robinhood s'explique,Journal Du Coin,2022-04-21,https://journalducoin.com/actualites/doge-crypto-internet-pdg-robinhood-explique/
