Title,Publisher,Date,Link
XRP price surges over 40% following another legal victory for Ripple,Forkast,2021-04-12,https://forkast.news/xrp-price-ripple-sec-lawsuit-discovery-win/
Enterprise blockchain solutions rally as businesses get hip to crypto,Cointelegraph,2021-04-12,https://cointelegraph.com/news/enterprise-blockchain-solutions-rally-as-businesses-get-hip-to-crypto
"XRP, FTX Token, Waves Price Analysis: 12 April",AMBCrypto,2021-04-12,https://ambcrypto.com/xrp-ftx-token-waves-price-analysis-12-april/
Ripple to Announce Massive Partnership Deal with Wanchain,Coinspeaker,2021-04-12,https://www.coinspeaker.com/ripple-partnership-wanchain/
"Miguel Vias, Ripple’s former head of XRP markets, joins DAM Gibraltar",Cointelegraph,2021-04-12,https://cointelegraph.com/press-releases/miguel-vias-ripples-former-head-of-xrp-markets-joins-dam-gibraltar
"Top 3 Price Prediction Bitcoin, Ethereum, Ripple: XRP comes ...",Forex Crunch,2021-04-12,https://www.forexcrunch.com/top-3-price-prediction-bitcoin-ethereum-ripple-xrp-comes-to-a-standstill-while-btc-and-eth-are-getting-started/
Telegram Plans IPO Within Two Years: Report,Decrypt,2021-04-12,https://decrypt.co/66171/telegram-plans-ipo-within-two-years-report
Social Token Platform Rally Raises $22M in RLY Sale on CoinList,CoinDesk,2021-04-12,https://www.coindesk.com/business/2021/04/12/social-token-platform-rally-raises-22m-in-rly-sale-on-coinlist/
Flare Upgrades Its Coston Testnet While Its First DeFi Revamps Public Beta: Details,U.Today,2021-04-12,https://u.today/flare-upgrades-its-coston-testnet-while-its-first-defi-revamps-public-beta-details
Digital Asset Fund Inflows Declined Last Week as Bitcoin Prices Stagnated,CoinDesk,2021-04-12,https://www.coindesk.com/markets/2021/04/12/digital-asset-fund-inflows-declined-last-week-as-bitcoin-prices-stagnated/
Self-Proclaimed Satoshi Craig Wright Sued by Square's COPA,U.Today,2021-04-12,https://u.today/self-proclaimed-satoshi-craig-wright-sued-by-squares-copa
TIME Magazine to Hold Bitcoin on Its Balance Sheet,U.Today,2021-04-12,https://u.today/time-magazine-to-hold-bitcoin-on-its-balance-sheet
"Cryptocurrencies Price Prediction: Bitcoin, The Graph and Stellar Group – European Wrap 12 April",FXStreet,2021-04-12,https://www.fxstreet.com/cryptocurrencies/news/cryptocurrencies-price-prediction-bitcoin-the-graph-and-stellar-group-european-wrap-12-april-202104121218
How the Coveted 'COIN' Ticker Found Its Way to Coinbase,CoinDesk,2021-04-12,https://www.coindesk.com/business/2021/04/12/how-the-coveted-coin-ticker-found-its-way-to-coinbase/
Rap Icon Nas Could Net $100M When Coinbase Lists on Nasdaq,CoinDesk,2021-04-12,https://www.coindesk.com/business/2021/04/12/rap-icon-nas-could-net-100m-when-coinbase-lists-on-nasdaq/
Circle Brings on Former Libra Vice Chair Dante Disparte in Potential Blow to Facebook Stablecoin Effort,CoinDesk,2021-04-12,https://www.coindesk.com/markets/2021/04/12/circle-brings-on-former-libra-vice-chair-dante-disparte-in-potential-blow-to-facebook-stablecoin-effort/
Zcash Announces 'Halo Arc' and Timeline for Protocol Privacy Update,CoinDesk,2021-04-12,https://www.coindesk.com/tech/2021/04/12/zcash-announces-halo-arc-and-timeline-for-protocol-privacy-update/
Major Thai bank experimenting with decentralized finance,Cointelegraph,2021-04-12,https://cointelegraph.com/news/major-thai-bank-experimenting-with-decentralized-finance
Thorchain Is Ready to Grease the Wheels of Crypto-to-Crypto Trading,CoinDesk,2021-04-12,https://www.coindesk.com/tech/2021/04/13/thorchain-is-ready-to-grease-the-wheels-of-crypto-to-crypto-trading/
BitRiver Is Selling Tokens to Build More Bitcoin Mining Farms ...,CoinDesk,2021-04-12,https://www.coindesk.com/markets/2021/04/12/bitriver-is-selling-tokens-to-build-more-bitcoin-mining-farms-in-siberia/
How to Minimize Your Crypto Taxes,CoinDesk,2021-04-12,https://www.coindesk.com/policy/2021/04/12/how-to-minimize-your-crypto-taxes/
Easy As Pi: Bitcoin Indicator Says The Top Is In,Bitcoinist,2021-04-12,https://bitcoinist.com/easy-as-pi-bitcoin-indicator-says-the-top-is-in/
Bitcoin’s Market Cap Now Bigger Than Visa and MasterCard Combined,CryptoPotato,2021-04-12,https://cryptopotato.com/bitcoins-market-cap-now-bigger-than-visa-and-mastercard-combined/
